text,label
I don't know who left other than him.,0
I also was very depressed and cryed very very much even tho I had a good prognosis considering.,1
I am a 6 yr survivor and have been out of treatment for 5 yrs.,0
I have enough energy for 16 hour periods.,0
I was diagnosed in October 2009 at age 53.,0
But at 7 pm tonight his left ankle started swelling.,0
I just wanted to let you know I was here if you wanted to talk.,2
"I see him week after next so we'll see what he days, actually I don't think one can have the shot while on chemo, thoughts anyone?",0
"I had non-small cell lung cancer, adenocarcinoma, which was a slow moving cancer.",0
"I was lucky and didn't feel much pain, but those darn drains are a pain in the butt.",1
"I thought I was dying  I could not think straight, I was weak and nauseous.",1
"I believe, correct me if I am wrong, that doing it yourself gives you at least a little control.",0
"Your attitude is amazing and, for me, very contagious, you are brave.",2
"And, I as others here, like the window view.",0
"But sure enough, the day came when my husband wanted to stop hearing the ""C"" word and wanted me to move on.",1
She forgot she smoked most of the time.,0
"After an hour or so, does the breathing issue subside?",0
"It must be awful to be so far away, I feel for you hope hope!",2
It is just too hard to find out if you have lung cancer often until it is too late.,1
"You may wish to have a doctor take a biopsy from a bronchoscopy, if the nodule is accessible via that non-invasive procedure.",0
My problem is that I get tired so easily.,1
CT in July 2013 showed the largest node in the left lung has grown.,0
I completed rad/chemo in 2004 and have COPD so I can expect fluid buildup every 3 to 6 months.,0
When they did a PET Scan they found a mass on his lung too.,0
I couldnt find much info when I googled it.,0
Was glad to find this site and great info being shared.,0
Please  pm me I'd love to find you on facebook,0
"I am so glad you are able to start fighting the cancer again, and keep it depleted and disappearing forever.",2
I was very happy my eyebrows grew in althou they are thin and not like before.,0
"You have beaten your cancer, put the issue of it back where it belongs, and live your life....",2
I had a bumpy rash for a short while towards the end of rads.,0
I used Aquafor skin lotion/gel  (over the counter) for  radiation side effects on my skin.,0
Pain in my legs and all muscles was unbearable.,1
If you would like to talk on the phone email me your number and I would be happy to call you.,2
"She has heard about all the women who have lost the battle, believe me, that scares the S#@t out of her.",1
Doctors need to write things a certain way to force insurance companies to pay up.,0
No two people are alike and we all handle and heal differently.,2
They usually will tap this fluid to test the cells to determine if they are malignant or not.,0
I had invasive Ductal carcinoma with metaplastic differentiation.,0
" Judy, I was started on Femara in January of 2011 untill I was switched over(can't remember when I switched)to the generic form,Letrozole.",0
"Many of us here were diagnosed before age of 50,",2
"I was diagnosed about 3 weeks ago and had surgery last week, I still think about it A LOT.",1
i know black pepper is not hot compared to other peppers but it's still too hot for me.,0
"I am sad for your cousin, still in disbelief that anyone these days can actually LOSE the fight to breast cancer!!!!!",2
"It was a real surgery, and now I have this thing in my throat, chest.",0
Fortunately she's a nurse and understood that it was the meds and not something personal or anything permanent.,0
I have good range of motion in both arms.,0
Im heart broke watching my husband and his gamily go three this again.,1
I have pain in my rib area on the left side now.,0
My chest is still tight at times and my ribs are still tender if I press on them.,0
I had my left breast removed last May.,0
"This helped immensley with the pain I was experiencing and now no longer need pain meds, I start high dose chemo next week.",0
They did ask if I worked around kids.,0
I did remain overnight and expected to stay another day.,0
All her suggestions will make your life a whole lot easier.,0
It seems like such a very very BAD Dream.,1
"He is mobile & insists on going to the store, etc, so I don't think that is a viable option, at this time.",0
It is almost 4 weeks since I finished chemo and don't see much growth of any hair.,1
Maybe her mouth runs faster than her brain.,0
I am at a loss where to go on the internet for help and understanding.,1
"Some patients experience similar symptoms like being tired, sick, losing hair, eyelashes (no less as if drawing eyebrows isn't bad enough!",0
I had papillary thyroid cancer 3 years ago and the tumors did not show up on my annual whole body scan.,0
"Inability to draw a deep breath often causes anxiety, which, in turn, makes the inherent depression and frustration worse.",1
Very sorry to read about your sister but so happy that she is going to be alright now.,2
"Am stage 11B, upper left lobe removed 12-4-01, one positive lymph node (although it was not mediastinal).",0
I also was horribly upset about losing my hair.,1
Anyone have experience with being too weak to walk?,1
Only between 1% and 5% of all BC is IBC so many do not know how different it is than the other types.,0
Take your weary days and rest and find sources of strength and joy wherever that may be.,2
"Your response is what it is, just what you are feeling at this point in your treatment.",2
"I respect your decision to refuse treatment, I am sure Stayingcalm does also along with many others on this site.",2
Had biopsies done on thursday waiting for results.,0
ANd pass the chocolate and latest issue of Country Living.,0
I hate that I had to go through treatments twice too!,1
"Just the word radiation frightens me, I am so scared for her.",1
During the healing process you need to eat a well balanced diet.,0
I received carboplatin and taxol for 8 months till tumors started to grow.,0
You enjoy your very well deserved and very long dance with NED!,2
"I started my chemo on Feb. 1st, so it took a couple of months to set in.",0
"And even if it is cancer, it can be treated.",2
Said all they do are drive women nuts.,0
To bring someone else's anything into the room were you are is very unprofessional.,0
His partner said a bridge and one implant on the bottom (where I haven't had a tooth for years) wound be sufficient.,0
Experiment until you find what is best for you.,2
Yesterday I went to the doctor and they told me that they found lumps under my bra line and one in my stomach.,0
"Thank you again for representing all of us in such an important, inspirational way!",0
Comes in a bag that has 12 individual snacks inside.,0
..and I have just lost my eyebrows too.,1
"Most insurance pays for a few counseling sessions a year, mine does.",0
Thank you and God Bless for your help!,0
Falling or having a knee give out can be very unnerving.,0
The 2nd infusion had to be stopped about 7 minutes into the infusion because I had a terrible allergic reaction.,0
Radiation and tamoxifen will be all she needs.,0
Thanks again for your warm wishes and welomes.,0
Remember that they are cutting through muscle and possibly tendons.,0
Bringing cafe au lait and beignets and big hugs.,2
I am now a Medical Assistant and I work in a Doctor's office.,0
I hope this helps and again would be glad to talk .,2
I'm glad I have you guys that support us.,0
Also please know that 90-95% of lung nodules resolve themselves.,0
Has anyone had this pain and do they know how to get rid of it?,1
: )    I am also about 3 weeks after a lumpectomy and lymph node removal.,0
I too felt a bit of a bond after reading your posts and listening to the radio broadcast.,0
Also post your question on inspire.com,0
My thoughts and prayers are with all the families.,2
"In May 2001, at age 67, I was initially diagnosed inoperable/incurable.",1
My mom has squamous cell cancer type 3.,0
Please don't apologize for they way you feel.,2
Had 1st chemo yesterday and having the port was great.,0
"My husband started on alinita, Avastin and Paraplatin on the 21 day cycle about two weeks ago.",0
Is losing hair a sign that is works?,0
"I understood where they were coming from, but it was so very hard.",1
I have 3b nsclc and went through carbo/taxol 1 per week for 22 weeks.,0
Go to Inspire.com and post your questions,0
"Stay warm & cozy now, you deserve a rest, I undersnad how it should feel!",2
How were you diagnosed and what were your symptoms?,0
He has since left due to the commute.,0
Thanks for the update was hoping he was home by now my thoughts and prayers are still with you.,2
"RE, I think your comments are very caring indeed.",0
How long will your ports be left in?,0
I love to hear survial stories like yours and thank you for the encouragement.,0
This works much the same as chewing ice when getting chemo to prevent mouth sores (mucositis).,0
There are always trial drugs and something to try.,2
Such nice comments from such a wonderful lady!,0
I also had a breast reduction on my left (non-cancer) side.,0
"Not very hungry, but I do try to keep drinking water or some other type of fluid.",0
My lung infections cleared right up after the cancer was removed.,0
"I was diagnosed with grade 3 invasive ductal carcinoma, stage 3b with at least one lymph node involved.",0
"This is in reply to boating, my husband was diagnosed with SCLC last November, was in remission for 6 weeks.",0
And there may some that left and have returned or some that left here completely.,0
How very strong your friend must have been to endure all that in one month.,2
my oncologist and my surgeon both recommended gall bladder out before cancer.,0
I did reply to your other post on mouth sores.,0
He believes that chemotherapy is the best treatment for her and wants her to start by next week.,0
I recommend to everyone that they get a prosthesis bra and form where they can get a fitting at the same time.,0
"I'm not stressing about it because by then, there will probably be new guidelines.",0
"I went through all the treatment, but I no longer know why I went to all the trouble.",1
It felt like the Taxol was killing me.,1
I was overwhelmed how much support I got from friends and family.,0
I loved my curly hair that lasted a year.,0
"She also takes her regular pain meds, but they constipated.",0
"This monday is the last, I hope that he regains his mobility.",0
Check out the following forum entry (in Head/Neck Cancer forum) where there has apparently been vigorous discussion about the CTCA:,0
"SO ANY INFO WOULD BE MOST APPRECIATED, THANKS IN ADVANCE",0
Instead you strike up an odd and sustaining friendship.,2
It is in the clear area between my lung and sternum (3 cm tumor).,0
I looked over at my co-worker and she had a weird look on her face!,0
after every chemo treatment I had to take a shot called Neulasta.,0
Remember to take good care of yourself and have a Happy New Year!,2
"Miracles do happen, some of us get it and some don't, but life itself is a miracle right?",2
www.cancersurvivor.com is a great site site for chatters.,0
If I dont get back to you soon dont worry .,0
Three Darvocet in 1/2 hour didn't do a thing.,0
6 more days of treatment to go and then maybe the oncologist will let us know if all this hell was worth it!,1
"Crunchy salads with ranch dressing really hit the spot, as well as chicken pot pie!",0
"You have had a rough ride to travel Carol, very rough.",2
I love you all and am very happy to be here with you.,0
I took it last week and it was 3.6.,0
You were kind to pass on the info to her.,0
"Therefore, the chemo has been discontinued and the cancer is left to run its course.",0
That is what they did in 2006 on my left lung.,0
Just started taxotere and going for three shots after.,0
I lost my hair 14 days after the first treatment so I shaved it off.,1
"Isn't it good to know that the person we are, does not consist of the sum of our body parts?",2
i just want to say i feel so bad for every person in these rooms everyone with this fight with cancer.,2
"Right now my husband is doing his chemo still of cisplatin, taxol and 5fu and going thru hell again.",1
I know how terrible this damn disease is but keep the battle and I know I and many others are praying hard for you.,2
I have so many years left to work.,1
I still have one enlarged node which they say is scar tissue.,0
That is wonderful you both were best friends.,2
As I went out the door he said he was going upstairs to cleanup for his accupuncture which was for 9 a.m.,0
The site is still slow to sign into.,0
Of coarse I have been told that my next mri of the brain will be in conjunction with pci.,0
Demerol or mepergan fortis worked okay for me and my ensuing treatments were not as traumatic.,0
"I hope everything goes well for you, and will remember you in my prayers.",2
I too am very concerned about taking tamoxifin.,1
"Rare spot for cancer, but no spread (they didn't tell us they were watching some small spots in his lungs).",0
I have zero effect from surgery or the tumors.,0
To tell you the truth I felt some pressure with each poke but no pain.,0
You can get the number from the MD Anderson Web site,0
"Thank you, for all you do to help other cancer patients by making these ""blankies"" for them!",0
Then I come home and nap for an hour or two.,0
She still has no movement on her left side.,0
Somebody also said when you have a biopsy it can spread cells within the lung.,0
I am sorry to hear about your mother.,2
"There was a ""disposible"" turkey pan filled with caynenne pepper over oil facing my unit (dumpster to the side of unit) .",0
"bone pain, lost of balance, flu symptons that lasted for days.",1
All they know is that people die from this disease.,1
